titulo,autor,ISBN_13,ISBN_10,ano,paginas,idioma,editora,rating,avaliacao,resenha,abandonos,relendo,querem_ler,lendo,leram,descricao,genero,male,female
Em comunhão com a vida,Eckhart Tolle,9788575427798,8575427792,2012,144,português,Sextante,5.0,4,0,1,0,147,12,16,"A causa primária da infelicidade nunca é a situação, mas nossos pensamentos sobre ela Portanto, tome consciência dos pensamentos que lhe ocorrem Separe-os da situação, que é sempre neutra  ela é como é Existe a circunstância ou o fato, e você terá seus pensamentos a respeito deles Em vez de criar histórias, atenhase aos fatos Encarar os fatos é sempre fortalecedor Tome consciência de que, na maioria das vezes, suas emoções são criadas pelo que você pensa  observe essa ligação Em vez de ser seus pensamentos e suas emoções, seja a consciência por trás deles  Eckhart TolleNosso propósito interior é despertar Quando despertamos, deixamos de ser comandados pelo pensamento É a consciência, o poder oculto que existe no momento presente, que emerge e guia nossos atosNeste livro, Eckhart Tolle selecionou os trechos mais tocantes publicados em Um novo mundo  O despertar de uma nova consciência e os reorganizou para que você possa se aprofundar na essência de seus ensinamentos espirituais e fazer uma mudança interior radical, deixando que a luz da consciência ilumine sua vidaO ideal é que você leia um capítulo de cada vez, parando para reler e assimilar as passagens que suscitem uma resposta interior Deixe que as palavras penetrem sua mente, medite sobre elas e sinta a verdade para a qual apontamOutra sugestão é que você abra o livro de modo aleatório e leia uma página ou apenas um trecho, deixando que as palavras indiquem o caminho para uma dimensão mais profunda, que está além do pensamentoA clareza e a lucidez da mensagem de Eckhart Tolle irão ajudá-lo a alcançar esse estado desperto, o que lhe trará paz de espírito e permitirá que você conviva de maneira harmoniosa com todos ao seu redor", ,31,69
Veronika Decide Morrer,Paulo Coelho,9788575427958,8575427954,2012,208,português,Sextante,3.8,14,367,791,29,3,390,30,"Aos 24 anos, a eslovena Veronika parece ter tudo: juventude e beleza, pretendentes, uma família amorosa e um emprego gratificante Mas num dia frio de novembro, ela toma um punhado de remédios para dormir com a intenção de nunca mais acordarSó que ela acorda  e no Sanatório de Villete, o lugar de onde ninguém jamais havia fugido Logo fica sabendo que só teria alguns dias de vida, e isso lhe desperta emoções até então desconhecidasInspirado em experiências próprias, Paulo Coelho escreveu Veronika decide morrer para questionar o significado da loucura e celebrar os indivíduos que não se encaixam nos padrões do que a sociedade considera normalOusado e esclarecedor, este romance de redenção faz um retrato tocante daqueles que estão na fronteira entre vida e morte, sanidade e loucura, felicidade e desespero, transmitindo a mensagem poética de que cada dia é um verdadeiro milagre",Autoajuda / Drama / Literatura Brasileira / Religião e Espiritualidade ,22,78
A fé nos negócios,Dave Anderson,9788575427989,8575427989,2012,195,português,Sextante,4.3,16,0,1,0,60,6,25,"""A leitura da Bíblia pode intimidar muitas pessoas que querem lê-la e entendê-la, mas não sabem por onde começar Elas se assustam com seu tamanho e acham os textos confusosMeu objetivo é destacar princípios que você talvez levasse muito tempo para descobrir sozinho e apresentá-los em um formato útil, prático e fácil, que você possa implementar com confiança e convicção""  Dave AndersonAlém de fornecer orientações para a sua vida pessoal, a Bíblia também pode ajudá-lo a crescer profissionalmente Em A fé nos negócios, Dave Anderson revela a sabedoria bíblica para transformar as pessoas, a cultura e os resultados de qualquer organizaçãoA Bíblia está repleta de valiosas lições sobre questões como a criação de uma visão de liderança, a conquista de objetivos e até mesmo a contratação e o treinamento de bons funcionáriosPara obter resultados significativos é preciso liderar com coragem, justiça e fé, colocando em prática esses valores atemporais", Você aprenderá: Seis princípios de Jesus e do rei Davi Quatro regras para maximizar seu tempo Como superar a principal causa do fracasso gerencial Cinco princípios determinantes para aumentar as suas habilidades interpessoais Quatro passos para formar uma equipe ,63,37
Fazendo as pazes com a vida,Iyanla Vanzant,9788575427996,8575427997,2012,304,português,Sextante,3.8,16,0,0,0,58,3,28,"Vou contar a história de como uma autora consagrada termina sem nenhum tostão, em busca de um lugar onde morar Vou mostrar como um relacionamento de 37 anos termina num divórcio anunciado por e-mailVou compartilhar como a mestre espiritual internacionalmente reconhecida se vê sentada na beira da cama, numa casa hipotecada de 1 milhão de dólares, pensando em suicídioMas também vou falar sobre o poder da amizade, da fé e da oraçãoVou falar sobre traição e a devastação que ela causa a todos os envolvidos Quero partilhar o que aprendi sobre ter ou não uma visão da vida e sobre o preço de estar atrelado a uma percepção que não é suaQuero contar o que aprendi a respeito de falhas de personalidade, fraquezas humanas, mente corrompida, coração partido e espírito depauperado Estes são os pedaços da minha vida que me levaram ao completo e total colapsoQuero contar o que aprendi sobre alegria e dor, medo e coragem, raiva e paixão e, sobretudo, pazQuero que você saiba como encontrei a paz em meio aos destroços de minha vida",  Iyanla Vanzant ,17,83
Feliz Dia Novo ,Irineu Toledo,9788575427941,8575427946,2012,160,português,Sextante,4.3,19,1,0,1,69,4,26,"Cada amanhecer é um recomeço, uma nova chance de realizar nossos sonhos e construir uma vida plena de valor e significadoEm Feliz dia novo, o radialista Irineu Toledo celebra o nascimento do novo dia com entusiasmo e inspiraçãoCombinando textos de sua autoria com citações de grandes pensadores, como Dalai-Lama, Albert Einstein e Fernando Sabino, ele nos faz refletir sobre nosso destino e nossas escolhas, revelando o que há de melhor em cada um de nósEste livro é um presente, capaz de sensibilizar o nosso dia e o de todos aqueles que nos cercam Uma oportunidade de lembrar que cada novo despertar é uma dádiva divina, que deve ser aproveitada em todas as suas potencialidades", ,23,77
Manuscrito encontrado em Accra,Paulo Coelho,9788575428221,8575428225,2012,176,português,Sextante,3.8,1,71,84,6,6,135,2,"14 de julho de 1099 Enquanto Jerusalém se prepara para a invasão dos cruzados, um grego conhecido como Copta convoca uma reunião com os jovens e velhos, homens e mulheres da cidade A multidão formada por cristãos, judeus e muçulmanos chega à praça achando que irá ouvir uma preleção sobre como se preparar para o combate, mas não é isso que Copta tem a lhe dizer Tudo indica que a derrota é iminente, mas o grego só quer instigar as pessoas a buscarem a sabedoria existente em sua vida cotidiana, forjada a partir dos desafios e dificuldades que têm de enfrentar O verdadeiro conhecimento, acredita, está nos amores vividos, nas perdas sofridas, nos momentos de crise e de glória e na convivência diária com a inevitabilidade da morte Na tradição de O Profeta, de Khalil GibranManuscrito encontrado em Accra é um convite à reflexão sobre nossos princípios e nossa humanidade ""Ame Não falo aqui apenas do amor por outra pessoa Amar significa estar disponível para os milagres, para as vitórias e derrotas, para tudo o que acontece durante cada dia que nos foi concedido caminhar sobre a face da terra""", ,30,70
Na Margem do Rio Piedra Eu Sentei e Chorei,Paulo Coelho,9788575428016,8575428012,2012,208,português,Sextante,3.6,9,164,500,33,2,129,23,"Em toda história de amor sempre existe algo que nos aproxima da eternidade e da essência da vida, porque as histórias de amor encerram em si mesmas todos os segredos do mundoPilar é uma jovem do interior da Espanha com muitos sonhos frustrados Quando um amigo de infância volta a entrar em contato, ela se surpreende ao descobrir que seu primeiro amor se tornou um líder religioso e é reverenciado como milagreiroAo se reencontrarem, porém, ambos são unidos por um único desejo: o de tornar seus sonhos realidade Para isso, têm que vencer muitos obstáculos interiores, como o medo da entrega, a culpa e o preconceitoNuma peregrinação espiritual através das montanhas dos Pireneus, os amantes trilham o árduo caminho do reencontro com as próprias verdadesNeste livro Paulo Coelho nos oferece uma parábola sobre o amor que transcende todas as coisas O romance é ao mesmo tempo uma lição de vida e um convite para seguirmos o verdadeiro caminho do coração e vencermos nossos medos","Biografia, Autobiografia, Memórias / Literatura Brasileira / Romance ",20,80
Nate vai para o tudo ou nada,Lincoln Peirce,9788575428047,8575428047,2012,224,português,Sextante,4.2,181,0,2,1,69,7,317,NATE RESOLVEU ARRISCAR TUDO!A poderosa Escola Jefferson SEMPRE ganha da escola de Nate," Mas agora ele decidiu deixar de ser um zero à esquerda e se tornar um herói!Será que Nate vai entregar os pontos na incrível disputa na neve? Ou vai liderar sua turma na maior vitória de todos os tempos?Prepare-se para curtir a nova aventura de Nate, um garoto que adora fazer palhaçadas, tirar os professores do sério e debochar dos valentões!Humor, Comédia / Infantil ",47,53
É o cliente que importa,Michael A. Aun,9788575428030,8575428039,2012,176,português,Sextante,4.3,9,0,1,0,120,13,20,"Não há como fugir desta verdade: a melhor estratégia para sobreviver no mundo dos negócios é oferecer um ótimo atendimento ao clienteNeste livro, o vendedor de sucesso Michael A Aun compartilha seus segredos sobre como fazer o consumidor se sentir valorizado e feliz, melhorar os resultados da empresa e manter a sanidade diante dos desafios do dia a dia na área de vendasVocê vai descobrir os mitos e as verdades a respeito da satisfação do cliente e entenderá por que muitas empresas são campeãs nos índices de reclamação E o mais importante: compreenderá o que se passa na cabeça dos consumidoresAo longo de sua vida profissional, Michael não se limitou a vender produtos ou serviços Seu objetivo sempre foi estabelecer relacionamentos e manter uma base de clientes leais que indicaram novos clientes, que por sua vez indicaram outrosÉ o cliente que importa está repleto de dicas valiosas que você pode aplicar no seu trabalho Conheça algumas: Quando estiver atendendo um consumidor ou prestes a fechar uma venda, fique calado um instante e ouça com atenção o que ele tem a dizer Se a empresa cometeu um erro, corrija-o logo para que o cliente não seja prejudicado É melhor primeiro resolver o problema e depois identificar os culpados Às vezes é preciso mostrar ao cliente que você não é o inimigo, e sim parte da solução Não pense que a lealdade é dada de mão beijada; ela precisa ser conquistada Mesmo que não possa oferecer uma solução imediata e definitiva, nunca deixe o consumidor sem resposta", ,41,59
Como Iniciar uma Conversa e Fazer Amigos,Don Gabor,9788575428061,8575428063,2012,228,português,Sextante,3.6,36,1,8,1,221,14,75,"Muitas pessoas perdem a oportunidade de fazer novas amizades ou contatos profissionais por não saberem como iniciar e manter uma conversa Essa dificuldade se estende para a internet, canal de comunicação cada dia mais popular em função das redes sociais, como Facebook e LinkedInNeste livro, Don Gabor ensina que começar um diálogo é mais simples do que parece e que depende apenas de tomar a iniciativa, demonstrar interesse pelo outro e valorizar as pessoas e a si mesmo como indivíduos únicosContudo, o medo de ser rejeitado faz com que muitas pessoas evitem o primeiro contato, desperdiçando a chance de iniciar novos relacionamentosNão importa se você quer conhecer alguém, se aproximar de seus colegas de trabalho ou ter um diálogo mais estreito com sua família: a melhor maneira de alcançar esses objetivos é conhecer as técnicas de conversaçãoUsando exemplos tirados da vida real, este livro vai ajudá-lo a identificar as estratégias de comunicação mais adequadas à sua personalidade Também dará dicas sobre linguagem corporal e lhe mostrará como criar um perfil interessante nos sites de relacionamentosCom a prática, você ganhará confiança e construirá relacionamentos mais profundos e significativos", ,49,51
Mais perto de Deus,Darin Hufford,9788575428108,8575428101,2012,192,português,Sextante,4.1,32,2,3,2,129,7,59,"O amor é paciente, o amor é bondoso Não inveja, não se vangloria, não se orgulha Não maltrata, não procura seus interesses, não se ira facilmente, não guarda rancor O amor não se alegra com a injustiça, mas se alegra com a verdade Tudo sofre, tudo crê, tudo espera, tudo suporta  I Coríntios 13, 4-7Você já temeu que Deus o condenasse por seus pecados ou se perguntou por que Ele o abandonou no momento em que você mais precisava de apoio?Mesmo que diga sim a essas perguntas, isso não significa que você seja infiel, ingrato ou descrente: apenas confirma o que Darrin Hufford revela neste livro: mentiram para nós a respeito de DeusAo longo de muitos anos, a igreja manipulou as palavras da Bíblia e distorceu a mensagem de Cristo Assim, deu origem a uma religião que traz mais culpa que paz, mais medo que amorO resultado disso foi um vazio profundo na alma das pessoas, que se perguntam como Deus pode ser bom e amoroso, se é capaz de nos condenar ao inferno se não obedecermos aos seus mandamentosNeste livro transformador, você verá que não precisa fazer nada para merecer o amor de Deus Ele não vai julgá-lo nem penalizá-lo por seus erros Deus é amor, e quando entendermos isso, seremos livres para amá-Lo por escolha, não por medo ou obrigaçãoA partir de uma das mais belas passagens da Bíblia  I Coríntios 13 , Hufford descreve as características de Deus e nos faz sentir amparados e protegidos de uma maneira que jamais experimentamos Além disso, nos faz ver que, para entender a essência de Deus, precisamos abrir nosso coração e compreender o verdadeiro sentido do amor", ,21,79
Ciência x Espiritualidade,Deepak Chopra,9788575428023,8575428020,2012,336,português,Sextante,4.0,52,0,7,0,302,14,82,"Dois consagrados autores encontram-se num programa de TV para um apaixonado debate sobre o Futuro de Deus: Deepak Chopra e Leonard MlodinowEles representam visões de mundo muito distintas Para o primeiro, a realidade existe numa consciência que antecede a vida no Universo; o segundo acredita que só a física pode explicar a criação do cosmo Um defende a espiritualidade, o outro, a ciência Este livro é o resultado desse fantástico diálogoQual dos pontos de vista está correto? Para descobrir isso, Ciência x Espiritualidade aprofunda o choque das duas perspectivas em torno de quatro questões fundamentais: o Universo físico, a vida, o cérebro humano e DeusNum diálogo sobretudo cordial e respeitoso, cada autor dá sua resposta A extraordinária reunião de suas interpretações promove, afinal, uma convergência de pontos de vista em nome do futuro da humanidadeNeste livro, ciência e espiritualidade travam um duelo, representadas por dois extraordinários pensadores e escritores contemporâneos, preocupados em superar a intolerância e criar novas formas de compreender o futuro da humanidadeÀ nossa volta, as pessoas sofrem com o vazio e a ansiedade Há um vácuo a ser preenchido, e este é um vácuo espiritual Só quando tivermos esperança de curar esse sofrimento saberemos o que o futuro nos reserva Que a ciência faça parte da cura, pois, de outra forma, podemos nos enredar em maravilhas tecnológicas que só irão multiplicar os corações vazios e as almas desamparadas - Deepak ChopraAdmito que nosso amor-próprio torna difícil aceitar uma visão de mundo em que os seres humanos não tenham um papel central no Universo Mas o triunfo final da ciência está na integridade de seus métodos, na flexibilidade de seu ponto de vista, em seu empenho de chegar à verdade Talvez a ciência nunca venha a ter todas as respostas, mas jamais deixará de procurá-las, e jamais tomará o caminho fácil em sua busca pelo conhecimento - Leonard Mlodinow",Esoterismo / Filosofia / Literatura Estrangeira / Não-ficção / Psicologia / Religião e Espiritualidade / Sociologia ,46,54
As Armas da Persuasão,Robert Cialdini,9788575428092,8575428098,2012,304,português,Sextante,4.3,983,63,82,18,4,493,1,"Depois de passar anos caindo na lábia de vendedores, arrecadadores de doações e operadores de telemarketing, o psicólogo Robert B Cialdini resolveu se dedicar ao estudo da persuasão Ele queria entender quais são os fatores que levam uma pessoa a dizer sim a um pedido e que técnicas exploram melhor esses fatores Reunindo dados das mais recentes pesquisas científicas sobre o assunto, histórias de gente comum e a experiência adquirida ao se infiltrar em organizações que treinam os chamados profissionais da persuasão, Cialdini criou uma obra acessível, informativa e indispensável a todos aqueles que querem saber como influenciar pessoas e, ao mesmo tempo, se defender dos manipuladores Seis princípios psicológicos básicos governam o comportamento humano quando tomamos uma decisão e podem ser usados como verdadeiras armas: 1 Reciprocidade: nos sentimos compelidos a retribuir, nem sempre de forma vantajosa para nós, o que outra pessoa nos proporcionou 2 Compromisso e coerência: depois que fazemos uma escolha, enfrentamos pressões para nos comportarmos de maneira condizente com o compromisso assumido 3 Aprovação social: buscamos nos outros indícios do comportamento mais apropriado a seguir 4 Afeição: preferimos acatar pedidos de pessoas que conhecemos e de que gostamos 5 Autoridade: temos um arraigado senso de obediência à autoridade 6 Escassez: tudo se torna mais valioso quando fica menos disponível Cada princípio é discutido pelo autor em termos de sua função na sociedade e de como um profissional da persuasão pode mobilizar seu poder em pedidos de compras, doações, concessões, votos, permissões, etc Além disso, aprendemos a usar essas técnicas a nosso favor nas interações diárias de todo tipo, com vizinhos, amigos, colegas, parceiros de negócios ou familiares",Administração / Autoajuda / Comunicação / Psicologia ,54,46
As histórias que me ensinaram a viver,Jorge Bucay,9788575428238,8575428233,2012,192,português,Sextante,3.9,52,4,2,0,253,9,101,"Demián é um jovem cheio de conflitos e questionamentos Cansado de terapias convencionais, segue a indicação de uma amiga e procura Jorge, um psicólogo com fama de ser pouco ortodoxo Já na primeira consulta, Demián percebe que aquela parceria terá um grande futuroO método terapêutico de Jorge é peculiar: para transmitir seus ensinamentos e fazer o paciente refletir sobre sua vida a partir de uma perspectiva diferente, ele conta histórias clássicas, populares, antigas, modernas, famosas ou inventadasA cada consulta, Demián expõe suas angústias e Jorge responde com um conto que mostra ao jovem como lidar com seus sentimentos e abrir a mente para novas maneiras de encarar os problemasDe maneira engenhosa, Jorge Bucay cria uma obra brilhante por sua simplicidade Como o livro é ambientado no consultório do fictício terapeuta, o autor nos transforma em pacientes, pois, junto com Demián, temos a chance de aprender valiosas lições por meio de suas históriasCom mais de 6 milhões de livros vendidos, Bucay já inspirou pessoas do mundo todo a se conhecer melhor e a buscar a felicidade Deixe que a terapia de Jorge o inspire também", ,16,84
Meu amigo Michael,Frank Cascio,9788575428245,8575428241,2012,313,português,Sextante,4.6,278,20,8,2,307,22,362,"Todo mundo conhece Michael Jackson, o mito Esta é uma reveladora eemocionante história de Michael Jackson, o homemPara Frank Cascio, Michael foi muitas coisas: um segundo pai, um irmãomais velho, um chefe, um mentor e um professor Mas, acima de tudo, ele foi um grande amigoFrank era apenas uma criança quando conheceu Michael em 1984, maspelos 25 anos seguintes sua vida giraria em torno do pop star Ao se tornar uma das pessoas mais próximas do astro, pôde observá-lo de perto Discreto, Frank nunca havia revelado suas experiências Até agoraEm Meu amigo Michael, ele refuta os boatos e mentiras que se acumularam ao longo dos anos, oferecendo um olhar sincero sobre o homem com quem compartilhou alegrias e tristezas Frank conta tudo o que aprendeu viajando pelo mundo na companhia do artista e, mais tarde, trabalhando para eleOs momentos mais particulares e turbulentos de Michael são analisadospelo autor, desfazendo qualquer mal-entendido sobre seu incompreendidoestilo de vida  o suposto complexo de Peter Pan, sua sexualidade e asfalsas acusações levantadas contra eleO resultado é um retrato aguçado de Michael Jackson  uma pessoa que,embora às vezes pudesse ser absolutamente comum, também carregavamarcas terríveis de uma vida sob os holofotesReunindo histórias e fotografias, este livro é um baú de fatos e curiosidades sobre o Rei do Pop Ao mesmo tempo que celebra sua vida, redefine nosso entendimento do homem por trás do mito","Biografia, Autobiografia, Memórias ",22,78
O Mestre dos Mestres,Augusto Cury,nan,nan,2012,175,português,Sextante,4.1,2,79,194,19,2,365,4,nan,nan,34,66
O estrategista,Cynthia A. Montgomery,9788575428290,8575428292,2012,208,português,Sextante,3.8,56,6,1,0,297,40,94,"Todo mundo sabe que é a estratégia que move um negócio No entanto, nos últimos anos a função do estrategista foi retirada do topo da organização e relegada a especialistas terceirizadosCynthia Montgomery escreveu este livro para convocar todos os líderes a reassumirem seu papel de estrategistas A partir de sua experiência como professora da Harvard Business School, ela propõe uma reflexão sobre a posição que ocupam e sobre o propósito da organização que comandamPara ela, a estratégia não é apenas uma ferramenta usada para vencer a concorrência, mas sobretudo um sistema de criação de valor: a maneira mais poderosa que um líder tem de moldar a própria empresaEla define a estratégia como aquilo que sustenta a vantagem competitiva e a singularidade de um negócio, e afirma que não se trata de algo fixo, um problema a ser resolvido e abandonado depois, mas de algo que evolui e está sempre em transformaçãoPor meio da discussão de casos e da análise dos dilemas reais de seus alunos, a autora esclarece por que é tão importante ter uma estratégia bem-elaborada e o que é necessário para desenvolvê-la Também revela como dirigentes de grandes organizações abraçaram seu papel estratégico e levaram ao sucesso algumas das companhias mais icônicas de nosso tempoTodos os executivos devem se perguntar se são estrategistas, pois a estratégia é o sustentáculo de qualquer organização Por mais que você e seus funcionários trabalhem duro, por mais maravilhosa que seja a cultura da empresa, por mais que suas motivações ou seus produtos sejam bons, se você não tiver uma boa estratégia, todo o resto estará em risco", ,58,42
O amor vence,Rob Bell,9788575428306,8575428306,2012,176,português,Sextante,3.6,70,2,3,3,269,17,141,"Com mais de 300 mil livros vendidos, Rob Bell apresenta uma nova e transformadora visão sobre o que Jesus realmente queria nos ensinar quando veio à TerraRompendo com alguns conceitos clássicos do cristianismo  como céu e inferno, condenação e salvação, culpa, arrependimento e obediência , ele nos faz questionar tudo aquilo em que acreditamos e nos inspira a fazer perguntas capazes de libertar nosso coração do cárcere que a religião nos impôsPor que Deus teria criado bilhões de seres humanos para depois ameaçá-los com o castigo eterno? Por que temos que obedecer a todas as suas regras se seu amor é incondicional? Por que as pessoas ruins que oram estão mais próximas Dele do que as boas que não frequentam a igreja?E se o próprio Jesus veio até nós para nos estimular a perguntar, questionar, refletir? E se tudo o que nos ensinaram a respeito de Deus estiver errado? E se o céu e o inferno existirem aqui e agora?Neste livro polêmico, intenso e apaixonante, você vai descobrir todas as respostas a essas perguntas",Religião e Espiritualidade ,39,61
1001 Músicas para Ouvir Antes de Morrer,Robert Dimery,9788575427972,8575427970,2012,960,português,Sextante,4.1,86,4,5,0,704,74,178,"Jazz, funk, blues, pop, rock, disco, R&B, heavy metal, bossa nova, hip-hop e soul convivem harmonicamente neste completo e apaixonante guia que reúne algumas das melhores músicas de todos os tempos Escrito por um time de especialistas, este livro apresenta a história das canções, sua ficha técnica completa e resenhas que explicam por que elas devem ser apreciadas Dos Beatles a Beyoncé, de Bob Dylan a Kurt Cobain, de Joni Mitchell a Amy Winehouse, você vai encontrar as obras-primas que compõem - ou merecem compor - a trilha sonora da sua vida",Música ,37,63
1001 Filmes Para Ver Antes de Morrer ,Steven Jay Schneider,9788575428139,8575428136,2012,960,português,Sextante,4.3,1,34,48,18,2,592,2,"Nesta edição atualizada, que conta com sucessos recentes, mais de 50 críticos consagrados selecionaram 1001 filmes imperdíveis e os reuniram neste guia de referência para todos os apaixonados pela sétima arte", ,41,59
A graça de Deus,Rev. Aldo Quintão,9788575428580,8575428586,2012,144,português,Sextante,3.3,9,1,1,0,15,3,15,"Em A graça de Deus, um dos religiosos brasileiros mais importantes da atualidade lança uma renovada luz sobre questões da vida modernaCom muito bom humor e várias histórias divertidas, reverendo Aldo Quintão fala de assuntos como solidariedade, justiça, respeito e igualdadeSua visão inclusiva e livre de preconceitos nos faz repensar nossas atitudes, mostrando que alegria e fé não apenas combinam, mas também se complementamNascido numa comunidade pobre, com pouquíssimos recursos além do amor e da fraternidade, reverendo Aldo aprendeu que o bom humor e o amor de Deus são capazes de transformar a vida de qualquer um, em qualquer circunstância  e é esta a mensagem que propaga em seu ministério", ,35,65
Destaque-se,Marcus Buckingham,9788575428542,8575428543,2012,160,português,Sextante,3.6,19,0,3,0,141,12,42,"FAÇA O TESTE DESTAQUE-SE E LIBERE SEU POTENCIALCom mais de quatro milhões de livros vendidos, Marcus Buckingham tornou-se referência no mundo dos negócios ao mostrar as imensas recompensas que obtemos ao investir em nossos pontos fortesPara muitos profissionais, no entanto, aproveitar ao máximo suas vantagens naturais permanece um desafio Com o objetivo de ajudar você a identificar seu comportamento no trabalho e saber quais técnicas são mais adequadas ao seu estilo, Buckingham escreveu Destaque-seA partir de um teste on-line inovador, que leva em conta seus talentos e vai além, indicando como colocá-los em prática, você poderá valorizar o que o torna especial e desenvolver suas habilidades, aumentando seu desempenho e sua evolução profissionalO sistema de avaliação deste livro examina o leitor segundo nove categorias e revela seus dois perfis principais Eles representam a forma como você pode oferecer sua maior contribuição São seu trunfo: pontos em que você é naturalmente superior E também são ferramentas multiplicadoras, com as quais você se desenvolve mais rápido e implementa inovações, processos e métodos que complementem seus dois perfisEm capítulos objetivos e esclarecedores, cada perfil é explicado em detalhes"," Além de aprender como causar um impacto imediato, você receberá as seguintes orientações: Como levar seu desempenho a outro patamar Como falar de suas qualidades sem demonstrar arrogância O que fazer para se destacar como líder, gerente, vendedor e no atendimento ao cliente ",45,55
Eu Posso Fazer Você Emagrecer,Paul McKenna,9788575428337,8575428330,2012,144,português,Sextante,3.8,26,2,3,0,309,25,71,"Se você come de maneira descontrolada, sofre com seu peso e deseja se sentir feliz com o próprio corpo, precisa mudar definitivamente sua maneira de pensar sobre comida e, acima de tudo, sobre si mesmoÉ isso que o hipnotista Paul McKenna propõe neste livro e no CD que o acompanha Com uma comprovada taxa de sucesso de 70%, seu método já ajudou milhões de pessoas a perder peso sem ter que se submeter a dietas mirabolantes ou recorrer a moderadores de apetiteComo é a mente que toma todas as decisões sobre o que, quando e quanto você come, McKenna utiliza técnicas psíquicas para fazer vocêreprogramar suas atitudes e crenças sobre sua alimentação e seu corpo Além de orientações simples e fáceis de seguir, o livro traz inspiradoras histórias de superaçãoNo CD, McKenna utiliza exercícios de relaxamento e visualização que têm como objetivo mudar sua autoimagem e seus padrões alimentares,levando-o a assumir o controle da própria vidaConheça as quatro regras de ouro do método: Quando estiver com fome, coma Coma o que tiver vontade, não o que pensa que deve comer Coma de maneira consciente e aprecie cada garfada Quando achar que está saciado, pare de comer",Medicina e Saúde ,19,81
O Zahir,Paulo Coelho,9788575428122,8575428128,2012,304,português,Sextante,3.4,3,79,487,9,1,141,7,"O protagonista de O Zahir é um autor de renome internacional, casado há 10 anos com Esther, uma jornalista bem-sucedidaUm dia Esther desaparece e as autoridades decidem interrogar o marido Todos se perguntam se ela teria sido sequestrada, assassinada, ou se simplesmente resolvera abandonar umcasamento que a deixava insatisfeita Ele não tem as respostas, mas, pouco a pouco, começa a questionar a própria existênciaPassado algum tempo, um amigo de Esther encontra o escritor e promete levá-lo até sua mulher Os dois deixam para trás o glamour parisiense e embarcam numa viagem ao CazaquistãoÉ nesse lugar, marcado por uma história trágica e espiritualmente poderosa, que o escritor faz descobertas surpreendentes sobre si mesmoMais uma vez, Paulo Coelho prova seu valor como contador de fábulas contemporâneas, mesclando histórias irresistíveis e a eterna busca por iluminação",Romance ,24,76
A Cabana,William P. Young,9788575428559,8575428551,2012,192,português,Sextante,3.7,175,3,22,6,388,57,330,"Eu não conheço você Não sei o que se passa na sua vida Você pode estar se sentindo sozinho ou desesperado, ou até eufórico por causa de um sucesso Simplesmente não seiO que sei é que estes trechos foram retirados de uma história verdadeiramente humana, e por isso temos muito em comum  os mesmos questionamentos e processosEste livro convida você a parar por um instante, refletir, ponderar, abrir a mente, orar, ficar em silêncio, chorar, rir, compartilhar  William P", YoungReligião e Espiritualidade / Autoajuda / Literatura Estrangeira ,18,82
Sou um desastre com as mulheres ,Justin Halpern,9788575428566,857542856X,2012,176,português,Sextante,3.7,392,18,4,1,312,24,563,"Do ponto de vista científico, o casamento se resume ao seguinte: existem seis bilhões de pessoas no planeta Levando em conta faixa etária e tudo mais, mesmo que você fosse exigente, poderia estar casado e feliz com 150 milhões de mulheres diferentes Neste novo livro, Justin Halpern - autor de Meu pai fala cada uma - narra os percalços de sua vida afetiva Do desastroso primeiro amor na infância até a decepcionante primeira vez, é impossível não se identificar com as aventuras do rapaz tímido e sem jeito, pontuadas pelas tiradas absurdas de seu pai Quando decide anunciar a sua decisão de pedir a namorada em casamento, Justin acaba recebendo um sábio conselho do pai: que tire um dia de folga para repensar tudo o que aprendeu na vida sobre si mesmo, sobre as mulheres e sobre relacionamentos E é exatamente isso que ele faz O resultado é um retrato hilário das reviravoltas amorosas da juventude, abordando temas como sexo, namoro, família e amizade Repleto das já conhecidas pérolas de sabedoria do pai de Justin, Sam Halpern, o livro também apresenta outros irreverentes personagens, como seu irmão Dan, que oferece uma peculiar interpretação dos rituais da noite de núpcias, e seu desbocado primeiro chefe Além de reafirmar o talento de Justin Halpern como um dos autores mais engraçados da atualidade, o livro nos faz relembrar com nostalgia os episódios divertidos e constrangedores de nossa vida",  ,40,60
Eu posso fazer você emagrecer,Paul McKenna,9788575428337,8575428330,2012,144,português,Sextante,3.8,26,2,3,0,309,25,71,nan,nan,19,81
